state,date,precipitation,year,month
Sergipe,2003-07-31,171.3,2003,7
Sergipe,2003-08-31,90.1,2003,8
Sergipe,2003-09-30,57.4,2003,9
Sergipe,2003-10-31,149.4,2003,10
Sergipe,2003-11-30,130.0,2003,11
Sergipe,2003-12-31,39.2,2003,12
Sergipe,2004-01-31,238.5,2004,1
Sergipe,2004-02-29,42.7,2004,2
Sergipe,2004-03-31,48.3,2004,3
Sergipe,2004-04-30,70.8,2004,4
Sergipe,2004-05-31,202.3,2004,5
Sergipe,2004-06-30,113.6,2004,6
Sergipe,2004-07-31,174.8,2004,7
Sergipe,2004-08-31,173.4,2004,8
Sergipe,2004-09-30,58.0,2004,9
Sergipe,2004-10-31,5.7,2004,10
Sergipe,2004-11-30,14.4,2004,11
Sergipe,2004-12-31,0.0,2004,12
Sergipe,2005-01-31,52.6,2005,1
Sergipe,2005-02-28,46.8,2005,2
Sergipe,2005-03-31,57.6,2005,3
Sergipe,2005-04-30,172.1,2005,4
Sergipe,2005-05-31,182.3,2005,5
Sergipe,2005-06-30,101.3,2005,6
Sergipe,2005-07-31,211.0,2005,7
Sergipe,2005-08-31,143.8,2005,8
Sergipe,2005-09-30,27.5,2005,9
Sergipe,2005-10-31,24.1,2005,10
Sergipe,2005-11-30,3.8,2005,11
Sergipe,2005-12-31,56.0,2005,12
Sergipe,2006-01-31,26.2,2006,1
Sergipe,2006-02-28,29.0,2006,2
Sergipe,2006-03-31,28.9,2006,3
Sergipe,2006-04-30,174.0,2006,4
Sergipe,2006-05-31,345.3,2006,5
Sergipe,2006-06-30,218.6,2006,6
Sergipe,2006-07-31,194.3,2006,7
Sergipe,2006-08-31,60.0,2006,8
Sergipe,2006-09-30,111.8,2006,9
Sergipe,2006-10-31,214.7,2006,10
Sergipe,2006-11-30,34.4,2006,11
Sergipe,2006-12-31,6.3,2006,12
Sergipe,2007-01-31,21.3,2007,1
Sergipe,2007-02-28,142.5,2007,2
Sergipe,2007-03-31,126.1,2007,3
Sergipe,2007-04-30,149.5,2007,4
Sergipe,2007-05-31,191.0,2007,5
Sergipe,2007-06-30,156.3,2007,6
Sergipe,2007-07-31,184.0,2007,7
Sergipe,2007-08-31,79.8,2007,8
Sergipe,2007-09-30,63.3,2007,9
Sergipe,2007-10-31,31.6,2007,10
Sergipe,2007-11-30,13.2,2007,11
Sergipe,2007-12-31,18.6,2007,12
Sergipe,2008-01-31,27.9,2008,1
Sergipe,2008-02-29,133.2,2008,2
Sergipe,2008-03-31,272.5,2008,3
Sergipe,2008-04-30,131.5,2008,4
Sergipe,2008-05-31,366.0,2008,5
Sergipe,2008-06-30,113.4,2008,6
Sergipe,2008-07-31,144.1,2008,7
Sergipe,2008-08-31,83.8,2008,8
Sergipe,2008-09-30,39.4,2008,9
Sergipe,2008-10-31,32.7,2008,10
Sergipe,2008-11-30,4.0,2008,11
Sergipe,2008-12-31,15.6,2008,12
Sergipe,2009-01-31,18.4,2009,1
Sergipe,2009-02-28,44.2,2009,2
Sergipe,2009-03-31,41.3,2009,3
Sergipe,2009-04-30,156.1,2009,4
Sergipe,2009-05-31,515.8,2009,5
Sergipe,2009-06-30,103.4,2009,6
Sergipe,2009-07-31,121.8,2009,7
Sergipe,2009-08-31,169.4,2009,8
Sergipe,2009-09-30,78.8,2009,9
Sergipe,2009-10-31,28.5,2009,10
Sergipe,2009-11-30,13.8,2009,11
Sergipe,2009-12-31,17.2,2009,12
Sergipe,2010-01-31,26.9,2010,1
Sergipe,2010-02-28,76.7,2010,2
Sergipe,2010-03-31,31.9,2010,3
Sergipe,2010-04-30,359.0,2010,4
Sergipe,2010-05-31,125.8,2010,5
Sergipe,2010-06-30,265.1,2010,6
Sergipe,2010-07-31,135.5,2010,7
Sergipe,2010-08-31,92.5,2010,8
Sergipe,2010-09-30,76.6,2010,9
Sergipe,2010-10-31,20.7,2010,10
Sergipe,2010-11-30,14.0,2010,11
Sergipe,2010-12-31,8.7,2010,12
Sergipe,2011-01-31,100.5,2011,1
Sergipe,2011-02-28,89.9,2011,2
Sergipe,2011-03-31,52.3,2011,3
Sergipe,2011-04-30,210.6,2011,4
Sergipe,2011-05-31,333.3,2011,5
Sergipe,2011-06-30,97.3,2011,6
Sergipe,2011-07-31,130.4,2011,7
Sergipe,2011-08-31,82.7,2011,8
Sergipe,2011-09-30,55.4,2011,9
Sergipe,2011-10-31,104.8,2011,10
Sergipe,2011-11-30,43.1,2011,11
Sergipe,2011-12-31,4.4,2011,12
Sergipe,2012-01-31,35.9,2012,1
Sergipe,2012-02-29,85.2,2012,2
Sergipe,2012-03-31,17.8,2012,3
Sergipe,2012-04-30,24.5,2012,4
Sergipe,2012-05-31,144.6,2012,5
Sergipe,2012-06-30,118.0,2012,6
Sergipe,2012-07-31,100.6,2012,7
Sergipe,2012-08-31,77.1,2012,8
Sergipe,2012-09-30,60.8,2012,9
